ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
-4.08,1.11,-5.672,-0.201,-16.505,-14.913,0.0132
-3.61,1.11,-5.672,-0.201,-16.505,-14.913,0.0119
-2.87,1.11,-5.672,-0.201,-16.505,-14.913,0.0112
-2.81,1.11,-5.672,-0.201,-16.505,-14.913,0.0112
6.67,1.11,-5.672,-0.201,-16.505,-14.913,0.011
9.99,1.11,-5.672,-0.201,-16.505,-14.913,0.0059
11.43,1.11,-5.672,-0.201,-16.505,-14.913,0.0014
12.69,1.11,-5.672,-0.201,-16.505,-14.913,-0.0022
12.7,1.11,-5.672,-0.201,-16.505,-14.913,-0.0023
-5.731,-5.73,4.443,-11.809,-2.109,-8.451,-0.0081
-5.362,-5.73,4.443,-11.809,-2.109,-8.451,-0.008
-5.216,-5.73,4.443,-11.809,-2.109,-8.451,-0.008
-5.142,-5.73,4.443,-11.809,-2.109,-8.451,-0.0079
-4.776,-5.73,4.443,-11.809,-2.109,-8.451,-0.0079
-3.67,-5.73,4.443,-11.809,-2.109,-8.451,-0.0072
-2.939,-5.73,4.443,-11.809,-2.109,-8.451,-0.0066
-2.316,-5.73,4.443,-11.809,-2.109,-8.451,-0.0062
-1.145,-5.73,4.443,-11.809,-2.109,-8.451,-0.0054
2.27,-5.73,4.443,-11.809,-2.109,-8.451,-0.0053
4.278,-5.73,4.443,-11.809,-2.109,-8.451,-0.0065
6.814,-5.73,4.443,-11.809,-2.109,-8.451,-0.0079
7.173,-5.73,4.443,-11.809,-2.109,-8.451,-0.008
8.888,-5.73,4.443,-11.809,-2.109,-8.451,-0.0088
-11.229,13.37,-10.582,-9.232,7.026,-12.613,-0.0026
-11.134,13.37,-10.582,-9.232,7.026,-12.613,-0.0026
-8.777,13.37,-10.582,-9.232,7.026,-12.613,-0.0027
-8.113,13.37,-10.582,-9.232,7.026,-12.613,-0.0028
-6.783,13.37,-10.582,-9.232,7.026,-12.613,-0.0032
-5.662,13.37,-10.582,-9.232,7.026,-12.613,-0.0037
-2.638,13.37,-10.582,-9.232,7.026,-12.613,-0.0069
-1.666,13.37,-10.582,-9.232,7.026,-12.613,-0.0075
0.644,13.37,-10.582,-9.232,7.026,-12.613,-0.0073
3.581,13.37,-10.582,-9.232,7.026,-12.613,-0.0095
4.786,13.37,-10.582,-9.232,7.026,-12.613,-0.0101
6.331,13.37,-10.582,-9.232,7.026,-12.613,-0.0095
9.37,13.37,-10.582,-9.232,7.026,-12.613,-0.0065
10.762,13.37,-10.582,-9.232,7.026,-12.613,-0.0053
-13.462,-6.25,16.286,-17.615,5.102,0.859,0.0063
-13.037,-6.25,16.286,-17.615,5.102,0.859,0.0068
-12.795,-6.25,16.286,-17.615,5.102,0.859,0.0072
-11.357,-6.25,16.286,-17.615,5.102,0.859,0.0102
-3.168,-6.25,16.286,-17.615,5.102,0.859,-0.0121
-3.058,-6.25,16.286,-17.615,5.102,0.859,-0.012
-2.02,-6.25,16.286,-17.615,5.102,0.859,-0.0109
-0.226,-6.25,16.286,-17.615,5.102,0.859,-0.0097
0.667,-6.25,16.286,-17.615,5.102,0.859,-0.0097
1.356,-6.25,16.286,-17.615,5.102,0.859,-0.0098
1.707,-6.25,16.286,-17.615,5.102,0.859,-0.0099
8.679,-6.25,16.286,-17.615,5.102,0.859,-0.0066
9.135,-6.25,16.286,-17.615,5.102,0.859,-0.0054
14.3,-6.25,16.286,-17.615,5.102,0.859,0.0006
-14.487,-10.24,-15.409,15.444,-14.52,4.696,0.0005
-12.529,-10.24,-15.409,15.444,-14.52,4.696,-0.0003
-5.501,-10.24,-15.409,15.444,-14.52,4.696,0.0004
-5.083,-10.24,-15.409,15.444,-14.52,4.696,0.0004
