ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CY
-1.145,-5.73,4.443,-11.809,-2.109,-8.451,0.5616
2.27,-5.73,4.443,-11.809,-2.109,-8.451,0.5679
4.278,-5.73,4.443,-11.809,-2.109,-8.451,0.5616
6.814,-5.73,4.443,-11.809,-2.109,-8.451,0.5505
7.173,-5.73,4.443,-11.809,-2.109,-8.451,0.5482
8.888,-5.73,4.443,-11.809,-2.109,-8.451,0.5315
-11.229,13.37,-10.582,-9.232,7.026,-12.613,-1.7199
-11.134,13.37,-10.582,-9.232,7.026,-12.613,-1.7219
-8.777,13.37,-10.582,-9.232,7.026,-12.613,-1.768
-8.113,13.37,-10.582,-9.232,7.026,-12.613,-1.7806
-6.783,13.37,-10.582,-9.232,7.026,-12.613,-1.8064
-5.662,13.37,-10.582,-9.232,7.026,-12.613,-1.8299
-2.638,13.37,-10.582,-9.232,7.026,-12.613,-1.8964
-1.666,13.37,-10.582,-9.232,7.026,-12.613,-1.9005
0.644,13.37,-10.582,-9.232,7.026,-12.613,-1.8787
3.581,13.37,-10.582,-9.232,7.026,-12.613,-1.8744
4.786,13.37,-10.582,-9.232,7.026,-12.613,-1.8768
6.331,13.37,-10.582,-9.232,7.026,-12.613,-1.8537
9.37,13.37,-10.582,-9.232,7.026,-12.613,-1.7774
10.762,13.37,-10.582,-9.232,7.026,-12.613,-1.7453
-13.462,-6.25,16.286,-17.615,5.102,0.859,0.6703
-13.037,-6.25,16.286,-17.615,5.102,0.859,0.6925
-12.795,-6.25,16.286,-17.615,5.102,0.859,0.7072
-11.357,-6.25,16.286,-17.615,5.102,0.859,0.8098
-3.168,-6.25,16.286,-17.615,5.102,0.859,0.5778
-3.058,-6.25,16.286,-17.615,5.102,0.859,0.5808
-2.02,-6.25,16.286,-17.615,5.102,0.859,0.6038
-0.226,-6.25,16.286,-17.615,5.102,0.859,0.6233
0.667,-6.25,16.286,-17.615,5.102,0.859,0.6242
1.356,-6.25,16.286,-17.615,5.102,0.859,0.6211
1.707,-6.25,16.286,-17.615,5.102,0.859,0.6185
8.679,-6.25,16.286,-17.615,5.102,0.859,0.6026
9.135,-6.25,16.286,-17.615,5.102,0.859,0.6153
14.3,-6.25,16.286,-17.615,5.102,0.859,0.6243
-14.487,-10.24,-15.409,15.444,-14.52,4.696,1.1267
-12.529,-10.24,-15.409,15.444,-14.52,4.696,1.1586
-5.501,-10.24,-15.409,15.444,-14.52,4.696,1.2922
-5.083,-10.24,-15.409,15.444,-14.52,4.696,1.2964
-3.096,-10.24,-15.409,15.444,-14.52,4.696,1.3089
-0.012,-10.24,-15.409,15.444,-14.52,4.696,1.2963
1.246,-10.24,-15.409,15.444,-14.52,4.696,1.2895
3.207,-10.24,-15.409,15.444,-14.52,4.696,1.2936
3.382,-10.24,-15.409,15.444,-14.52,4.696,1.293
5.86,-10.24,-15.409,15.444,-14.52,4.696,1.2714
5.882,-10.24,-15.409,15.444,-14.52,4.696,1.2712
9.272,-10.24,-15.409,15.444,-14.52,4.696,1.223
12.106,-10.24,-15.409,15.444,-14.52,4.696,1.19
12.86,-10.24,-15.409,15.444,-14.52,4.696,1.1838
-14.537,-12.1,-14.239,19.053,-4.9,-2.874,1.5898
-12.498,-12.1,-14.239,19.053,-4.9,-2.874,1.6368
-10.567,-12.1,-14.239,19.053,-4.9,-2.874,1.6857
-7.977,-12.1,-14.239,19.053,-4.9,-2.874,1.7712
-6.45,-12.1,-14.239,19.053,-4.9,-2.874,1.7951
-6.086,-12.1,-14.239,19.053,-4.9,-2.874,1.7897
-4.755,-12.1,-14.239,19.053,-4.9,-2.874,1.7655
-1.9,-12.1,-14.239,19.053,-4.9,-2.874,1.723
-0.396,-12.1,-14.239,19.053,-4.9,-2.874,1.7106
5.296,-12.1,-14.239,19.053,-4.9,-2.874,1.6891
6.763,-12.1,-14.239,19.053,-4.9,-2.874,1.6924
9.376,-12.1,-14.239,19.053,-4.9,-2.874,1.7
11.717,-12.1,-14.239,19.053,-4.9,-2.874,1.6841
14.237,-12.1,-14.239,19.053,-4.9,-2.874,1.6373
-14.945,-10.52,-8.995,-12.327,-7.338,8.024,1.2324
-14.677,-10.52,-8.995,-12.327,-7.338,8.024,1.2375
-12.385,-10.52,-8.995,-12.327,-7.338,8.024,1.2809
-11.308,-10.52,-8.995,-12.327,-7.338,8.024,1.297
-7.024,-10.52,-8.995,-12.327,-7.338,8.024,1.309
-3.421,-10.52,-8.995,-12.327,-7.338,8.024,1.2622
-1.772,-10.52,-8.995,-12.327,-7.338,8.024,1.2349
-1.491,-10.52,-8.995,-12.327,-7.338,8.024,1.2322
0.483,-10.52,-8.995,-12.327,-7.338,8.024,1.235
4.657,-10.52,-8.995,-12.327,-7.338,8.024,1.1944
7.594,-10.52,-8.995,-12.327,-7.338,8.024,1.3074
10.666,-10.52,-8.995,-12.327,-7.338,8.024,1.3739
11.75,-10.52,-8.995,-12.327,-7.338,8.024,1.3983
12.737,-10.52,-8.995,-12.327,-7.338,8.024,1.3524
-11.029,-2.17,-8.576,8.673,11.365,-1.332,0.4159
-10.619,-2.17,-8.576,8.673,11.365,-1.332,0.401
-8.709,-2.17,-8.576,8.673,11.365,-1.332,0.3187
-7.835,-2.17,-8.576,8.673,11.365,-1.332,0.3233
-4.45,-2.17,-8.576,8.673,11.365,-1.332,0.3563
0.015,-2.17,-8.576,8.673,11.365,-1.332,0.4003
0.918,-2.17,-8.576,8.673,11.365,-1.332,0.3932
1.004,-2.17,-8.576,8.673,11.365,-1.332,0.392
3.056,-2.17,-8.576,8.673,11.365,-1.332,0.3306
5.009,-2.17,-8.576,8.673,11.365,-1.332,0.351
5.127,-2.17,-8.576,8.673,11.365,-1.332,0.3529
5.593,-2.17,-8.576,8.673,11.365,-1.332,0.3593
6.515,-2.17,-8.576,8.673,11.365,-1.332,0.367
7.473,-2.17,-8.576,8.673,11.365,-1.332,0.3646
-8.499,5.3,18.951,8.73,-0.482,6.793,-0.5743
-6.76,5.3,18.951,8.73,-0.482,6.793,-0.6221
-6.189,5.3,18.951,8.73,-0.482,6.793,-0.6234
-5.82,5.3,18.951,8.73,-0.482,6.793,-0.6238
2.022,5.3,18.951,8.73,-0.482,6.793,-0.6355
4.345,5.3,18.951,8.73,-0.482,6.793,-0.649
4.658,5.3,18.951,8.73,-0.482,6.793,-0.6516
4.712,5.3,18.951,8.73,-0.482,6.793,-0.6521
4.822,5.3,18.951,8.73,-0.482,6.793,-0.653
9.33,5.3,18.951,8.73,-0.482,6.793,-0.647
9.354,5.3,18.951,8.73,-0.482,6.793,-0.6463
9.663,5.3,18.951,8.73,-0.482,6.793,-0.6381
13.235,5.3,18.951,8.73,-0.482,6.793,-0.6231
14.016,5.3,18.951,8.73,-0.482,6.793,-0.6457
-9.083,-13.09,1.303,11.661,-17.266,18.126,1.5906
-8.141,-13.09,1.303,11.661,-17.266,18.126,1.6005
-6.05,-13.09,1.303,11.661,-17.266,18.126,1.6187
-1.517,-13.09,1.303,11.661,-17.266,18.126,1.6736
0.928,-13.09,1.303,11.661,-17.266,18.126,1.6855
2.684,-13.09,1.303,11.661,-17.266,18.126,1.7036
6.064,-13.09,1.303,11.661,-17.266,18.126,1.649
7.371,-13.09,1.303,11.661,-17.266,18.126,1.6356
7.794,-13.09,1.303,11.661,-17.266,18.126,1.6324
8.499,-13.09,1.303,11.661,-17.266,18.126,1.6277
9.573,-13.09,1.303,11.661,-17.266,18.126,1.6198
10.905,-13.09,1.303,11.661,-17.266,18.126,1.6062
12.225,-13.09,1.303,11.661,-17.266,18.126,1.5896
12.744,-13.09,1.303,11.661,-17.266,18.126,1.5825
-13.933,-11.11,-11.626,19.77,-7.98,9.523,1.3821
-12.458,-11.11,-11.626,19.77,-7.98,9.523,1.4165
-11.162,-11.11,-11.626,19.77,-7.98,9.523,1.4482
-10.119,-11.11,-11.626,19.77,-7.98,9.523,1.4756
-3.708,-11.11,-11.626,19.77,-7.98,9.523,1.5431
-2.962,-11.11,-11.626,19.77,-7.98,9.523,1.5379
-2.503,-11.11,-11.626,19.77,-7.98,9.523,1.5343
-1.47,-11.11,-11.626,19.77,-7.98,9.523,1.5255
-1.396,-11.11,-11.626,19.77,-7.98,9.523,1.5249
-0.219,-11.11,-11.626,19.77,-7.98,9.523,1.515
1.106,-11.11,-11.626,19.77,-7.98,9.523,1.5042
5.655,-11.11,-11.626,19.77,-7.98,9.523,1.4766
6.275,-11.11,-11.626,19.77,-7.98,9.523,1.4723
6.955,-11.11,-11.626,19.77,-7.98,9.523,1.4687
-12.439,-10.1,-5.712,6.248,1.05,18.233,1.3713
-11.714,-10.1,-5.712,6.248,1.05,18.233,1.3976
-11.386,-10.1,-5.712,6.248,1.05,18.233,1.4105
-10.968,-10.1,-5.712,6.248,1.05,18.233,1.4279
-6.353,-10.1,-5.712,6.248,1.05,18.233,1.5049
-4.166,-10.1,-5.712,6.248,1.05,18.233,1.4801
-2.698,-10.1,-5.712,6.248,1.05,18.233,1.4642
0.54,-10.1,-5.712,6.248,1.05,18.233,1.4386
3.248,-10.1,-5.712,6.248,1.05,18.233,1.4573
3.527,-10.1,-5.712,6.248,1.05,18.233,1.4606
5.645,-10.1,-5.712,6.248,1.05,18.233,1.4921
6.372,-10.1,-5.712,6.248,1.05,18.233,1.5034
9.373,-10.1,-5.712,6.248,1.05,18.233,1.5792
9.517,-10.1,-5.712,6.248,1.05,18.233,1.5809
-5.957,-7.79,14.613,0.003,-19.644,9.977,0.8194
-4.687,-7.79,14.613,0.003,-19.644,9.977,0.7648
-1.102,-7.79,14.613,0.003,-19.644,9.977,0.7927
0.027,-7.79,14.613,0.003,-19.644,9.977,0.7951
3.282,-7.79,14.613,0.003,-19.644,9.977,0.7852
4.903,-7.79,14.613,0.003,-19.644,9.977,0.7541
4.932,-7.79,14.613,0.003,-19.644,9.977,0.7534
5.68,-7.79,14.613,0.003,-19.644,9.977,0.7315
6.518,-7.79,14.613,0.003,-19.644,9.977,0.7042
9.403,-7.79,14.613,0.003,-19.644,9.977,0.6067
10.515,-7.79,14.613,0.003,-19.644,9.977,0.5656
12.397,-7.79,14.613,0.003,-19.644,9.977,0.5223
12.741,-7.79,14.613,0.003,-19.644,9.977,0.5185
13.895,-7.79,14.613,0.003,-19.644,9.977,0.5103
-14.477,-8.94,-9.676,-8.605,-11.772,-14.028,0.892
-9.807,-8.94,-9.676,-8.605,-11.772,-14.028,0.9433
-8.545,-8.94,-9.676,-8.605,-11.772,-14.028,0.9496
-6.264,-8.94,-9.676,-8.605,-11.772,-14.028,0.9473
-1.741,-8.94,-9.676,-8.605,-11.772,-14.028,0.9166
-0.277,-8.94,-9.676,-8.605,-11.772,-14.028,0.9177
0.708,-8.94,-9.676,-8.605,-11.772,-14.028,0.9226
1.132,-8.94,-9.676,-8.605,-11.772,-14.028,0.926
4.195,-8.94,-9.676,-8.605,-11.772,-14.028,0.9641
5.826,-8.94,-9.676,-8.605,-11.772,-14.028,0.9822
6.539,-8.94,-9.676,-8.605,-11.772,-14.028,0.9881
8.16,-8.94,-9.676,-8.605,-11.772,-14.028,0.9963
11.512,-8.94,-9.676,-8.605,-11.772,-14.028,1.0078
13.993,-8.94,-9.676,-8.605,-11.772,-14.028,0.978
-11.173,-5.78,1.149,-4.525,13.196,9.883,0.9751
-7.914,-5.78,1.149,-4.525,13.196,9.883,0.8152
-7.453,-5.78,1.149,-4.525,13.196,9.883,0.7887
-7.251,-5.78,1.149,-4.525,13.196,9.883,0.776
-4.244,-5.78,1.149,-4.525,13.196,9.883,0.6556
-1.008,-5.78,1.149,-4.525,13.196,9.883,0.7329
-0.483,-5.78,1.149,-4.525,13.196,9.883,0.7368
1.079,-5.78,1.149,-4.525,13.196,9.883,0.7389
2.358,-5.78,1.149,-4.525,13.196,9.883,0.7317
5.102,-5.78,1.149,-4.525,13.196,9.883,0.6933
10.05,-5.78,1.149,-4.525,13.196,9.883,0.8649
10.193,-5.78,1.149,-4.525,13.196,9.883,0.8711
10.582,-5.78,1.149,-4.525,13.196,9.883,0.8878
10.67,-5.78,1.149,-4.525,13.196,9.883,0.8916
-12.508,-13.33,-12.68,-19.217,-7.746,12.712,1.7401
-11.943,-13.33,-12.68,-19.217,-7.746,12.712,1.7484
-9.368,-13.33,-12.68,-19.217,-7.746,12.712,1.7858
-6.46,-13.33,-12.68,-19.217,-7.746,12.712,1.8258
-5.318,-13.33,-12.68,-19.217,-7.746,12.712,1.8409
-3.722,-13.33,-12.68,-19.217,-7.746,12.712,1.8508
3.95,-13.33,-12.68,-19.217,-7.746,12.712,1.7969
5.823,-13.33,-12.68,-19.217,-7.746,12.712,1.7721
6.11,-13.33,-12.68,-19.217,-7.746,12.712,1.7631
7.194,-13.33,-12.68,-19.217,-7.746,12.712,1.6646
7.214,-13.33,-12.68,-19.217,-7.746,12.712,1.6726
8.835,-13.33,-12.68,-19.217,-7.746,12.712,1.8496
10.871,-13.33,-12.68,-19.217,-7.746,12.712,1.8953
13.058,-13.33,-12.68,-19.217,-7.746,12.712,1.8131
-14.235,6.42,1.32,19.379,16.791,-19.211,-0.3366
-12.573,6.42,1.32,19.379,16.791,-19.211,-0.4333
-11.414,6.42,1.32,19.379,16.791,-19.211,-0.5043
-10.169,6.42,1.32,19.379,16.791,-19.211,-0.5833
-8.181,6.42,1.32,19.379,16.791,-19.211,-0.6873
-0.251,6.42,1.32,19.379,16.791,-19.211,-0.5805
0.422,6.42,1.32,19.379,16.791,-19.211,-0.581
2.108,6.42,1.32,19.379,16.791,-19.211,-0.5884
