ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CA
8.679,-6.25,16.286,-17.615,5.102,0.859,0.1786
9.135,-6.25,16.286,-17.615,5.102,0.859,0.175
14.3,-6.25,16.286,-17.615,5.102,0.859,0.1254
-14.487,-10.24,-15.409,15.444,-14.52,4.696,0.1255
-12.529,-10.24,-15.409,15.444,-14.52,4.696,0.1485
-5.501,-10.24,-15.409,15.444,-14.52,4.696,0.2032
-5.083,-10.24,-15.409,15.444,-14.52,4.696,0.2052
-3.096,-10.24,-15.409,15.444,-14.52,4.696,0.2129
-0.012,-10.24,-15.409,15.444,-14.52,4.696,0.2188
1.246,-10.24,-15.409,15.444,-14.52,4.696,0.2194
3.207,-10.24,-15.409,15.444,-14.52,4.696,0.2177
3.382,-10.24,-15.409,15.444,-14.52,4.696,0.2173
5.86,-10.24,-15.409,15.444,-14.52,4.696,0.2093
5.882,-10.24,-15.409,15.444,-14.52,4.696,0.2092
9.272,-10.24,-15.409,15.444,-14.52,4.696,0.1894
12.106,-10.24,-15.409,15.444,-14.52,4.696,0.1654
12.86,-10.24,-15.409,15.444,-14.52,4.696,0.1579
-14.537,-12.1,-14.239,19.053,-4.9,-2.874,0.0817
-12.498,-12.1,-14.239,19.053,-4.9,-2.874,0.1098
-10.567,-12.1,-14.239,19.053,-4.9,-2.874,0.1338
-7.977,-12.1,-14.239,19.053,-4.9,-2.874,0.1611
-6.45,-12.1,-14.239,19.053,-4.9,-2.874,0.1737
-6.086,-12.1,-14.239,19.053,-4.9,-2.874,0.1764
-4.755,-12.1,-14.239,19.053,-4.9,-2.874,0.1854
-1.9,-12.1,-14.239,19.053,-4.9,-2.874,0.1979
-0.396,-12.1,-14.239,19.053,-4.9,-2.874,0.202
5.296,-12.1,-14.239,19.053,-4.9,-2.874,0.1986
6.763,-12.1,-14.239,19.053,-4.9,-2.874,0.1932
9.376,-12.1,-14.239,19.053,-4.9,-2.874,0.1789
11.717,-12.1,-14.239,19.053,-4.9,-2.874,0.1624
14.237,-12.1,-14.239,19.053,-4.9,-2.874,0.1394
-14.945,-10.52,-8.995,-12.327,-7.338,8.024,0.1271
-14.677,-10.52,-8.995,-12.327,-7.338,8.024,0.1302
-12.385,-10.52,-8.995,-12.327,-7.338,8.024,0.1533
-11.308,-10.52,-8.995,-12.327,-7.338,8.024,0.1624
-7.024,-10.52,-8.995,-12.327,-7.338,8.024,0.1837
-3.421,-10.52,-8.995,-12.327,-7.338,8.024,0.1859
-1.772,-10.52,-8.995,-12.327,-7.338,8.024,0.1837
-1.491,-10.52,-8.995,-12.327,-7.338,8.024,0.1831
0.483,-10.52,-8.995,-12.327,-7.338,8.024,0.1771
4.657,-10.52,-8.995,-12.327,-7.338,8.024,0.1566
7.594,-10.52,-8.995,-12.327,-7.338,8.024,0.1354
10.666,-10.52,-8.995,-12.327,-7.338,8.024,0.1058
11.75,-10.52,-8.995,-12.327,-7.338,8.024,0.093
12.737,-10.52,-8.995,-12.327,-7.338,8.024,0.0803
-11.029,-2.17,-8.576,8.673,11.365,-1.332,0.1551
-10.619,-2.17,-8.576,8.673,11.365,-1.332,0.1588
-8.709,-2.17,-8.576,8.673,11.365,-1.332,0.1739
-7.835,-2.17,-8.576,8.673,11.365,-1.332,0.1796
-4.45,-2.17,-8.576,8.673,11.365,-1.332,0.1952
0.015,-2.17,-8.576,8.673,11.365,-1.332,0.2066
0.918,-2.17,-8.576,8.673,11.365,-1.332,0.2082
1.004,-2.17,-8.576,8.673,11.365,-1.332,0.2084
3.056,-2.17,-8.576,8.673,11.365,-1.332,0.2109
5.009,-2.17,-8.576,8.673,11.365,-1.332,0.2111
5.127,-2.17,-8.576,8.673,11.365,-1.332,0.211
5.593,-2.17,-8.576,8.673,11.365,-1.332,0.2106
6.515,-2.17,-8.576,8.673,11.365,-1.332,0.2093
7.473,-2.17,-8.576,8.673,11.365,-1.332,0.2071
-8.499,5.3,18.951,8.73,-0.482,6.793,0.197
-6.76,5.3,18.951,8.73,-0.482,6.793,0.2058
-6.189,5.3,18.951,8.73,-0.482,6.793,0.2081
-5.82,5.3,18.951,8.73,-0.482,6.793,0.2094
2.022,5.3,18.951,8.73,-0.482,6.793,0.2189
4.345,5.3,18.951,8.73,-0.482,6.793,0.2168
4.658,5.3,18.951,8.73,-0.482,6.793,0.2163
4.712,5.3,18.951,8.73,-0.482,6.793,0.2162
4.822,5.3,18.951,8.73,-0.482,6.793,0.2159
9.33,5.3,18.951,8.73,-0.482,6.793,0.1977
9.354,5.3,18.951,8.73,-0.482,6.793,0.1975
9.663,5.3,18.951,8.73,-0.482,6.793,0.1955
13.235,5.3,18.951,8.73,-0.482,6.793,0.1626
14.016,5.3,18.951,8.73,-0.482,6.793,0.1531
-9.083,-13.09,1.303,11.661,-17.266,18.126,0.1427
-8.141,-13.09,1.303,11.661,-17.266,18.126,0.1498
-6.05,-13.09,1.303,11.661,-17.266,18.126,0.1636
-1.517,-13.09,1.303,11.661,-17.266,18.126,0.1771
0.928,-13.09,1.303,11.661,-17.266,18.126,0.1744
2.684,-13.09,1.303,11.661,-17.266,18.126,0.169
6.064,-13.09,1.303,11.661,-17.266,18.126,0.152
7.371,-13.09,1.303,11.661,-17.266,18.126,0.1433
7.794,-13.09,1.303,11.661,-17.266,18.126,0.1402
8.499,-13.09,1.303,11.661,-17.266,18.126,0.1347
9.573,-13.09,1.303,11.661,-17.266,18.126,0.1254
10.905,-13.09,1.303,11.661,-17.266,18.126,0.1121
12.225,-13.09,1.303,11.661,-17.266,18.126,0.0972
12.744,-13.09,1.303,11.661,-17.266,18.126,0.091
-13.933,-11.11,-11.626,19.77,-7.98,9.523,0.126
-12.458,-11.11,-11.626,19.77,-7.98,9.523,0.1451
-11.162,-11.11,-11.626,19.77,-7.98,9.523,0.1606
-10.119,-11.11,-11.626,19.77,-7.98,9.523,0.172
-3.708,-11.11,-11.626,19.77,-7.98,9.523,0.2137
-2.962,-11.11,-11.626,19.77,-7.98,9.523,0.2155
-2.503,-11.11,-11.626,19.77,-7.98,9.523,0.2164
-1.47,-11.11,-11.626,19.77,-7.98,9.523,0.218
-1.396,-11.11,-11.626,19.77,-7.98,9.523,0.218
-0.219,-11.11,-11.626,19.77,-7.98,9.523,0.2188
1.106,-11.11,-11.626,19.77,-7.98,9.523,0.2179
5.655,-11.11,-11.626,19.77,-7.98,9.523,0.202
6.275,-11.11,-11.626,19.77,-7.98,9.523,0.1987
6.955,-11.11,-11.626,19.77,-7.98,9.523,0.1946
-12.439,-10.1,-5.712,6.248,1.05,18.233,0.1435
-11.714,-10.1,-5.712,6.248,1.05,18.233,0.1505
-11.386,-10.1,-5.712,6.248,1.05,18.233,0.1536
-10.968,-10.1,-5.712,6.248,1.05,18.233,0.1573
-6.353,-10.1,-5.712,6.248,1.05,18.233,0.1891
-4.166,-10.1,-5.712,6.248,1.05,18.233,0.1978
-2.698,-10.1,-5.712,6.248,1.05,18.233,0.2009
0.54,-10.1,-5.712,6.248,1.05,18.233,0.1984
3.248,-10.1,-5.712,6.248,1.05,18.233,0.1896
3.527,-10.1,-5.712,6.248,1.05,18.233,0.1884
5.645,-10.1,-5.712,6.248,1.05,18.233,0.1771
6.372,-10.1,-5.712,6.248,1.05,18.233,0.1724
9.373,-10.1,-5.712,6.248,1.05,18.233,0.1485
9.517,-10.1,-5.712,6.248,1.05,18.233,0.1472
-5.957,-7.79,14.613,0.003,-19.644,9.977,0.1926
-4.687,-7.79,14.613,0.003,-19.644,9.977,0.1943
-1.102,-7.79,14.613,0.003,-19.644,9.977,0.1933
0.027,-7.79,14.613,0.003,-19.644,9.977,0.1914
3.282,-7.79,14.613,0.003,-19.644,9.977,0.1826
4.903,-7.79,14.613,0.003,-19.644,9.977,0.1765
4.932,-7.79,14.613,0.003,-19.644,9.977,0.1764
5.68,-7.79,14.613,0.003,-19.644,9.977,0.1731
6.518,-7.79,14.613,0.003,-19.644,9.977,0.1692
9.403,-7.79,14.613,0.003,-19.644,9.977,0.1522
10.515,-7.79,14.613,0.003,-19.644,9.977,0.144
12.397,-7.79,14.613,0.003,-19.644,9.977,0.1281
12.741,-7.79,14.613,0.003,-19.644,9.977,0.1247
13.895,-7.79,14.613,0.003,-19.644,9.977,0.1124
-14.477,-8.94,-9.676,-8.605,-11.772,-14.028,0.102
-9.807,-8.94,-9.676,-8.605,-11.772,-14.028,0.1483
-8.545,-8.94,-9.676,-8.605,-11.772,-14.028,0.1569
-6.264,-8.94,-9.676,-8.605,-11.772,-14.028,0.1692
-1.741,-8.94,-9.676,-8.605,-11.772,-14.028,0.1842
-0.277,-8.94,-9.676,-8.605,-11.772,-14.028,0.1868
0.708,-8.94,-9.676,-8.605,-11.772,-14.028,0.1878
1.132,-8.94,-9.676,-8.605,-11.772,-14.028,0.1881
4.195,-8.94,-9.676,-8.605,-11.772,-14.028,0.1865
5.826,-8.94,-9.676,-8.605,-11.772,-14.028,0.1825
6.539,-8.94,-9.676,-8.605,-11.772,-14.028,0.1799
8.16,-8.94,-9.676,-8.605,-11.772,-14.028,0.1717
11.512,-8.94,-9.676,-8.605,-11.772,-14.028,0.1435
13.993,-8.94,-9.676,-8.605,-11.772,-14.028,0.1147
-11.173,-5.78,1.149,-4.525,13.196,9.883,0.1858
-7.914,-5.78,1.149,-4.525,13.196,9.883,0.2044
-7.453,-5.78,1.149,-4.525,13.196,9.883,0.2059
-7.251,-5.78,1.149,-4.525,13.196,9.883,0.2065
-4.244,-5.78,1.149,-4.525,13.196,9.883,0.21
-1.008,-5.78,1.149,-4.525,13.196,9.883,0.2056
-0.483,-5.78,1.149,-4.525,13.196,9.883,0.2043
1.079,-5.78,1.149,-4.525,13.196,9.883,0.1999
2.358,-5.78,1.149,-4.525,13.196,9.883,0.1956
5.102,-5.78,1.149,-4.525,13.196,9.883,0.1841
10.05,-5.78,1.149,-4.525,13.196,9.883,0.1505
10.193,-5.78,1.149,-4.525,13.196,9.883,0.1492
10.582,-5.78,1.149,-4.525,13.196,9.883,0.1456
10.67,-5.78,1.149,-4.525,13.196,9.883,0.1447
-12.508,-13.33,-12.68,-19.217,-7.746,12.712,0.1629
-11.943,-13.33,-12.68,-19.217,-7.746,12.712,0.1678
-9.368,-13.33,-12.68,-19.217,-7.746,12.712,0.1877
-6.46,-13.33,-12.68,-19.217,-7.746,12.712,0.2022
-5.318,-13.33,-12.68,-19.217,-7.746,12.712,0.2048
-3.722,-13.33,-12.68,-19.217,-7.746,12.712,0.2059
3.95,-13.33,-12.68,-19.217,-7.746,12.712,0.179
5.823,-13.33,-12.68,-19.217,-7.746,12.712,0.1638
6.11,-13.33,-12.68,-19.217,-7.746,12.712,0.161
7.194,-13.33,-12.68,-19.217,-7.746,12.712,0.1499
7.214,-13.33,-12.68,-19.217,-7.746,12.712,0.1497
8.835,-13.33,-12.68,-19.217,-7.746,12.712,0.131
10.871,-13.33,-12.68,-19.217,-7.746,12.712,0.105
13.058,-13.33,-12.68,-19.217,-7.746,12.712,0.0743
-14.235,6.42,1.32,19.379,16.791,-19.211,0.1195
-12.573,6.42,1.32,19.379,16.791,-19.211,0.1422
