ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CN
12.69,1.11,-5.672,-0.201,-16.505,-14.913,1.7506
12.7,1.11,-5.672,-0.201,-16.505,-14.913,1.7521
-5.731,-5.73,4.443,-11.809,-2.109,-8.451,-0.6983
-5.362,-5.73,4.443,-11.809,-2.109,-8.451,-0.6515
-5.216,-5.73,4.443,-11.809,-2.109,-8.451,-0.6332
-5.142,-5.73,4.443,-11.809,-2.109,-8.451,-0.624
-4.776,-5.73,4.443,-11.809,-2.109,-8.451,-0.5792
-3.67,-5.73,4.443,-11.809,-2.109,-8.451,-0.4407
-2.939,-5.73,4.443,-11.809,-2.109,-8.451,-0.3515
-2.316,-5.73,4.443,-11.809,-2.109,-8.451,-0.2795
-1.145,-5.73,4.443,-11.809,-2.109,-8.451,-0.1532
2.27,-5.73,4.443,-11.809,-2.109,-8.451,0.2046
4.278,-5.73,4.443,-11.809,-2.109,-8.451,0.4458
6.814,-5.73,4.443,-11.809,-2.109,-8.451,0.7802
7.173,-5.73,4.443,-11.809,-2.109,-8.451,0.8289
8.888,-5.73,4.443,-11.809,-2.109,-8.451,1.0741
-11.229,13.37,-10.582,-9.232,7.026,-12.613,-1.3405
-11.134,13.37,-10.582,-9.232,7.026,-12.613,-1.3257
-8.777,13.37,-10.582,-9.232,7.026,-12.613,-0.967
-8.113,13.37,-10.582,-9.232,7.026,-12.613,-0.8695
-6.783,13.37,-10.582,-9.232,7.026,-12.613,-0.6813
-5.662,13.37,-10.582,-9.232,7.026,-12.613,-0.5321
-2.638,13.37,-10.582,-9.232,7.026,-12.613,-0.1979
-1.666,13.37,-10.582,-9.232,7.026,-12.613,-0.1112
0.644,13.37,-10.582,-9.232,7.026,-12.613,0.0866
3.581,13.37,-10.582,-9.232,7.026,-12.613,0.3529
4.786,13.37,-10.582,-9.232,7.026,-12.613,0.4888
6.331,13.37,-10.582,-9.232,7.026,-12.613,0.6836
9.37,13.37,-10.582,-9.232,7.026,-12.613,1.118
10.762,13.37,-10.582,-9.232,7.026,-12.613,1.3317
-13.462,-6.25,16.286,-17.615,5.102,0.859,-1.8584
-13.037,-6.25,16.286,-17.615,5.102,0.859,-1.7904
-12.795,-6.25,16.286,-17.615,5.102,0.859,-1.752
-11.357,-6.25,16.286,-17.615,5.102,0.859,-1.5288
-3.168,-6.25,16.286,-17.615,5.102,0.859,-0.4632
-3.058,-6.25,16.286,-17.615,5.102,0.859,-0.4515
-2.02,-6.25,16.286,-17.615,5.102,0.859,-0.3453
-0.226,-6.25,16.286,-17.615,5.102,0.859,-0.1756
0.667,-6.25,16.286,-17.615,5.102,0.859,-0.09
1.356,-6.25,16.286,-17.615,5.102,0.859,-0.0219
