ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CM
-2.609,7.28,11.33,-7.08,1.519,15.741,-0.0726
3.5,7.28,11.33,-7.08,1.519,15.741,-0.0901
4.539,7.28,11.33,-7.08,1.519,15.741,-0.0987
5.373,7.28,11.33,-7.08,1.519,15.741,-0.1067
10.278,7.28,11.33,-7.08,1.519,15.741,-0.1648
11.86,7.28,11.33,-7.08,1.519,15.741,-0.1883
12.079,7.28,11.33,-7.08,1.519,15.741,-0.1917
12.096,7.28,11.33,-7.08,1.519,15.741,-0.192
13.305,7.28,11.33,-7.08,1.519,15.741,-0.2106
-14.753,7.25,0.336,-8.796,-12.918,-8.191,0.1618
-12.133,7.25,0.336,-8.796,-12.918,-8.191,0.1123
-11.065,7.25,0.336,-8.796,-12.918,-8.191,0.0936
-7.169,7.25,0.336,-8.796,-12.918,-8.191,0.0417
-3.856,7.25,0.336,-8.796,-12.918,-8.191,0.009
-3.055,7.25,0.336,-8.796,-12.918,-8.191,0.0032
-2.852,7.25,0.336,-8.796,-12.918,-8.191,0.002
-2.14,7.25,0.336,-8.796,-12.918,-8.191,-0.0012
-0.597,7.25,0.336,-8.796,-12.918,-8.191,-0.0031
-0.203,7.25,0.336,-8.796,-12.918,-8.191,-0.0032
0.029,7.25,0.336,-8.796,-12.918,-8.191,-0.0033
1.457,7.25,0.336,-8.796,-12.918,-8.191,-0.004
5.9,7.25,0.336,-8.796,-12.918,-8.191,-0.0353
6.095,7.25,0.336,-8.796,-12.918,-8.191,-0.0373
-14.475,-12.13,11.347,15.802,-14.101,12.127,0.1714
-14.019,-12.13,11.347,15.802,-14.101,12.127,0.162
-6.24,-12.13,11.347,15.802,-14.101,12.127,0.0317
-4.335,-12.13,11.347,15.802,-14.101,12.127,0.0162
-4.077,-12.13,11.347,15.802,-14.101,12.127,0.0143
-2.294,-12.13,11.347,15.802,-14.101,12.127,0.0096
-1.612,-12.13,11.347,15.802,-14.101,12.127,0.0101
-0.669,-12.13,11.347,15.802,-14.101,12.127,0.0116
0.477,-12.13,11.347,15.802,-14.101,12.127,0.0135
5.771,-12.13,11.347,15.802,-14.101,12.127,-0.0052
6.978,-12.13,11.347,15.802,-14.101,12.127,-0.0188
9.467,-12.13,11.347,15.802,-14.101,12.127,-0.0568
9.915,-12.13,11.347,15.802,-14.101,12.127,-0.0646
13.072,-12.13,11.347,15.802,-14.101,12.127,-0.1237
-14.726,8.37,-12.996,19.792,19.435,-15.437,0.2761
-14.17,8.37,-12.996,19.792,19.435,-15.437,0.2669
-11.174,8.37,-12.996,19.792,19.435,-15.437,0.2182
-4.918,8.37,-12.996,19.792,19.435,-15.437,0.1485
-2.264,8.37,-12.996,19.792,19.435,-15.437,0.13
