ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
0.644,13.37,-10.582,-9.232,7.026,-12.613,0.2739
3.581,13.37,-10.582,-9.232,7.026,-12.613,0.2706
4.786,13.37,-10.582,-9.232,7.026,-12.613,0.2702
6.331,13.37,-10.582,-9.232,7.026,-12.613,0.2608
9.37,13.37,-10.582,-9.232,7.026,-12.613,0.2315
10.762,13.37,-10.582,-9.232,7.026,-12.613,0.2191
-13.462,-6.25,16.286,-17.615,5.102,0.859,-0.0916
-13.037,-6.25,16.286,-17.615,5.102,0.859,-0.0975
-12.795,-6.25,16.286,-17.615,5.102,0.859,-0.1014
-11.357,-6.25,16.286,-17.615,5.102,0.859,-0.1292
-3.168,-6.25,16.286,-17.615,5.102,0.859,-0.0585
-3.058,-6.25,16.286,-17.615,5.102,0.859,-0.0596
-2.02,-6.25,16.286,-17.615,5.102,0.859,-0.0679
-0.226,-6.25,16.286,-17.615,5.102,0.859,-0.075
0.667,-6.25,16.286,-17.615,5.102,0.859,-0.0752
1.356,-6.25,16.286,-17.615,5.102,0.859,-0.074
1.707,-6.25,16.286,-17.615,5.102,0.859,-0.073
8.679,-6.25,16.286,-17.615,5.102,0.859,-0.0626
9.135,-6.25,16.286,-17.615,5.102,0.859,-0.0668
14.3,-6.25,16.286,-17.615,5.102,0.859,-0.0792
-14.487,-10.24,-15.409,15.444,-14.52,4.696,-0.0732
-12.529,-10.24,-15.409,15.444,-14.52,4.696,-0.0849
-5.501,-10.24,-15.409,15.444,-14.52,4.696,-0.1341
-5.083,-10.24,-15.409,15.444,-14.52,4.696,-0.136
-3.096,-10.24,-15.409,15.444,-14.52,4.696,-0.1423
-0.012,-10.24,-15.409,15.444,-14.52,4.696,-0.1397
1.246,-10.24,-15.409,15.444,-14.52,4.696,-0.1369
3.207,-10.24,-15.409,15.444,-14.52,4.696,-0.1357
3.382,-10.24,-15.409,15.444,-14.52,4.696,-0.1352
5.86,-10.24,-15.409,15.444,-14.52,4.696,-0.123
5.882,-10.24,-15.409,15.444,-14.52,4.696,-0.1229
9.272,-10.24,-15.409,15.444,-14.52,4.696,-0.0975
12.106,-10.24,-15.409,15.444,-14.52,4.696,-0.0773
12.86,-10.24,-15.409,15.444,-14.52,4.696,-0.0727
-14.537,-12.1,-14.239,19.053,-4.9,-2.874,-0.1024
-12.498,-12.1,-14.239,19.053,-4.9,-2.874,-0.1196
-10.567,-12.1,-14.239,19.053,-4.9,-2.874,-0.1378
-7.977,-12.1,-14.239,19.053,-4.9,-2.874,-0.1685
-6.45,-12.1,-14.239,19.053,-4.9,-2.874,-0.1776
-6.086,-12.1,-14.239,19.053,-4.9,-2.874,-0.1763
-4.755,-12.1,-14.239,19.053,-4.9,-2.874,-0.17
-1.9,-12.1,-14.239,19.053,-4.9,-2.874,-0.1589
-0.396,-12.1,-14.239,19.053,-4.9,-2.874,-0.1552
5.296,-12.1,-14.239,19.053,-4.9,-2.874,-0.1409
6.763,-12.1,-14.239,19.053,-4.9,-2.874,-0.1381
9.376,-12.1,-14.239,19.053,-4.9,-2.874,-0.1319
11.717,-12.1,-14.239,19.053,-4.9,-2.874,-0.1177
14.237,-12.1,-14.239,19.053,-4.9,-2.874,-0.0928
-14.945,-10.52,-8.995,-12.327,-7.338,8.024,-0.0456
-14.677,-10.52,-8.995,-12.327,-7.338,8.024,-0.0474
-12.385,-10.52,-8.995,-12.327,-7.338,8.024,-0.0632
-11.308,-10.52,-8.995,-12.327,-7.338,8.024,-0.0695
-7.024,-10.52,-8.995,-12.327,-7.338,8.024,-0.0767
-3.421,-10.52,-8.995,-12.327,-7.338,8.024,-0.0663
-1.772,-10.52,-8.995,-12.327,-7.338,8.024,-0.0592
-1.491,-10.52,-8.995,-12.327,-7.338,8.024,-0.0585
0.483,-10.52,-8.995,-12.327,-7.338,8.024,-0.0595
4.657,-10.52,-8.995,-12.327,-7.338,8.024,-0.0419
7.594,-10.52,-8.995,-12.327,-7.338,8.024,-0.0714
10.666,-10.52,-8.995,-12.327,-7.338,8.024,-0.0878
11.75,-10.52,-8.995,-12.327,-7.338,8.024,-0.0936
12.737,-10.52,-8.995,-12.327,-7.338,8.024,-0.0779
-11.029,-2.17,-8.576,8.673,11.365,-1.332,0.0624
-10.619,-2.17,-8.576,8.673,11.365,-1.332,0.0672
-8.709,-2.17,-8.576,8.673,11.365,-1.332,0.0929
-7.835,-2.17,-8.576,8.673,11.365,-1.332,0.0914
-4.45,-2.17,-8.576,8.673,11.365,-1.332,0.0778
0.015,-2.17,-8.576,8.673,11.365,-1.332,0.061
0.918,-2.17,-8.576,8.673,11.365,-1.332,0.0634
1.004,-2.17,-8.576,8.673,11.365,-1.332,0.0638
3.056,-2.17,-8.576,8.673,11.365,-1.332,0.0845
5.009,-2.17,-8.576,8.673,11.365,-1.332,0.0804
